Height,Weight,BMI,Diet Plan,Whole Grain Toast,Avocado,Poached Egg/Smoked Salmon,Greek Yogurt,Honey(tbsp),Smoothie(with Milk),Smoothie(Low Fat),Fruit(100g),Nut Butter,Egg,Nuts/Granola,Oatmeal,Almond Milk/Low Fat Milk,Veggie Omlette(Egg White)/Egg Substitute,Fruit Salad
174,81,26.75,Lose Weight,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0
168,62,21.97,Maintain Weight,1,2,1,1,1,0,1,1,1,0,0,0,0,0,0
157,48,19.47,Gain Weight,2,2,0,1,1,1,0,2,1,3,0,0,0,0,0
160,59,23.05,Maintain Weight,2,2,1,2,2,0,1,2,1,0,0,0,0,0,0
178,88,27.77,Lose Weight,0,0,0,1,2,0,0,1,0,0,1,2,2,1,1
171,68,23.26,Maintain Weight,1,1,1,1,2,0,1,1,1,0,0,0,0,0,0
159,50,19.78,Gain Weight,1,3,0,1,1,2,0,1,2,1,0,0,0,0,0
163,58,21.83,Maintain Weight,2,2,1,1,2,0,1,1,1,0,0,0,0,0,0
175,71,23.18,Maintain Weight,2,1,2,2,1,0,1,2,1,0,0,0,0,0,0
181,91,27.78,Lose Weight,0,0,0,2,1,0,0,2,0,0,1,1,1,2,1
164,61,22.68,Maintain Weight,1,1,1,1,2,0,2,2,1,0,0,0,0,0,0
172,73,24.68,Maintain Weight,2,2,1,1,1,0,2,2,2,0,0,0,0,0,0
176,80,25.83,Lose Weight,0,0,0,2,1,0,0,1,0,0,1,1,1,1,1
182,89,26.87,Lose Weight,0,0,0,1,2,0,0,1,0,0,2,1,1,1,1
170,66,22.84,Maintain Weight,1,2,1,1,1,0,1,2,2,0,0,0,0,0,0
166,63,22.86,Maintain Weight,2,2,2,1,1,0,1,1,2,0,0,0,0,0,0
154,47,19.82,Gain Weight,1,2,0,2,2,3,0,1,2,1,0,0,0,0,0
169,68,23.81,Maintain Weight,1,1,1,1,1,0,1,2,2,0,0,0,0,0,0
161,56,21.6,Maintain Weight,1,1,2,1,1,0,1,1,2,0,0,0,0,0,0
173,77,25.73,Lose Weight,0,0,0,2,2,0,0,2,0,0,2,2,1,2,2
159,52,20.57,Gain Weight,2,1,0,2,2,2,0,1,3,1,0,0,0,0,0
176,78,25.18,Lose Weight,0,0,0,2,1,0,0,2,0,0,1,2,2,1,2
167,61,21.87,Maintain Weight,2,1,1,2,1,0,2,1,1,0,0,0,0,0,0
165,59,21.67,Maintain Weight,1,1,1,1,1,0,2,1,1,0,0,0,0,0,0
172,72,24.34,Maintain Weight,1,1,1,1,1,0,1,2,1,0,0,0,0,0,0
179,85,26.53,Lose Weight,0,0,0,1,1,0,0,2,0,0,2,2,1,2,2
163,55,20.7,Gain Weight,1,2,0,1,2,1,0,2,1,1,0,0,0,0,0
156,47,19.31,Gain Weight,1,2,0,1,3,1,0,1,3,1,0,0,0,0,0
171,69,23.6,Maintain Weight,2,1,1,1,1,0,1,1,2,0,0,0,0,0,0
158,51,20.43,Gain Weight,2,2,0,3,2,2,0,1,1,1,0,0,0,0,0
184,97,28.65,Lose Weight,0,0,0,1,2,0,0,2,0,0,1,2,2,2,2
175,75,24.49,Maintain Weight,2,1,1,3,1,0,3,2,1,0,0,0,0,0,0
157,46,18.66,Gain Weight,2,2,0,1,1,3,0,3,2,1,0,0,0,0,0
165,62,22.77,Maintain Weight,1,1,1,2,1,0,2,1,1,0,0,0,0,0,0
